Disease Name,Control
Buruli Ulcer,Buruli ulcer are antibiotics (a combination of rifampicin and streptomycin/amikacin)
Dengue Fever, Dengue fever vaccine
Rabies,Rabies vaccine
Trachoma,Antibiotics treat early-stage trachoma. Surgery is required in later stages
Yaws,antibiotic called azithromycin.
Leprosy,monthly rifampicin antibiotic
Chagas disease,"Avoid sleeping in a mud, thatch or adobe house. These types of residences are more likely to harbor triatomine bugs.
Use insecticide-soaked netting over your bed when sleeping in thatch, mud or adobe houses.
Use insecticides to remove insects from your residence.
Use insect repellent on exposed skin."
Human African trypanosomiasis,no vaccine or drug
Leishmaniases,No vaccines or drugs to prevent infection are available
Taeniasis and neurocysticercosis,"Wash your hands with soap and warm water after using the toilet, changing diapers, and before handling food
Teach children the importance of washing hands to prevent infection
Wash and peel all raw vegetables and fruits before eating"
Dracunculiasis,"Filtering drinking water through a piece of fine-mesh cloth, chlorination, or boiling effectively protects against dracunculiasis. Infected people should be instructed not to enter drinking water sources to avoid contaminating them."
Foodborne trematodiases,"Control of foodborne trematodiases aims to reduce the risk of infection and at controlling associated morbidity. Like other diseases including an animal cycle, for the control of food-borne trematodes, an approach which links animal, human and environmental aspects should be used"
Echinococcosis,Prevention & Control. Cystic echinococcosis is controlled by preventing transmission of the parasite. Prevention measures include limiting the areas where dogs are allowed and preventing animals from consuming meat infected with cysts. Prevent dogs from feeding on the carcasses of infected sheep.
Lymphatic filariasis,"At night. Sleep in an air-conditioned room or. Sleep under a mosquito net.
Between dusk and dawn. Wear long sleeves and trousers and. Use mosquito repellent on exposed skin. Another approach to prevention includes giving entire communities medicine that kills the microscopic worms — and controlling mosquitoes."
Onchocerciasis,"There are no vaccines or medications available to prevent becoming infected with O. volvulus. The best prevention efforts include personal protection measures against biting insects. This includes wearing insect repellant such as N,N-Diethyl-meta-toluamide (DEET) on exposed skin, wearing long sleeves and long pants during the day when blackflies bite, and wearing permethrin- treated clothing. For a description of the CDC’s information for preventing insect bites, refer to CDC’s Yellow Book. Mass distribution of ivermectin, donated by Merck & Co., Inc., to all people living in many areas where O. volvulus is found, is being given to control onchocerciasis."
Schistosomiasis,"The drug of choice for treating all species of schistosomes is praziquantel. Cure rates of 65-90% have been described after a single treatment with praziquantel. In individuals not cured, the drug causes egg excretion to be reduced by 90%"
Soil-transmitted helminthiases, anthelmintic drugs
Mycetoma,antifungal medication
Fascilolisis,"Triclabendazole. Triclabendazole, a benzimidazole compound active against immature and adult Fasciola parasites, is the drug of choice for treatment of fascioliasis."
